,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,hotel_en_nm,room_index,room_nm,room_price,room_price_weekend,room_area,standard_date
23,317,제주특별자치도,제주시,관광호텔,오션그랜드호텔,㈜오션그랜드호텔,영업중,3성급,2019.12.05.,지상7~지하1,1035,4288.32,74,제주시 조천읍 조함해안로 490(함덕리),"한식당(지항1, 407.17㎡), 일식당(지상1, 96.06㎡), 
커피숍(지상1, 53.2㎡), 강당 및 연회장(지상7, 304.66㎡)",제주특별자치도 제주시 조천읍 조함해안로 490 (함덕리),제주특별자치도 제주시 조천읍 함덕리 1252-55 오션그랜드제주호텔,33.5425601,126.6651761,제주특별자치도,제주시,조천읍 함덕리,1252-55,1252,55,5011025924,5011025924-0-12520055,Ocean Grand Hotel,1,스탠다드 더블 (마운틴뷰) (Standard Double Mountain View),"52,115","62,538",24m²,2021-12-13
24,318,제주특별자치도,제주시,관광호텔,(주)블랙스톤리조트,㈜블랙스톤리조트,영업중,2성급,2019.05.26.,지하1~지상2,10677,7966.46,36,제주시 한림읍 한창로 925-122,,제주특별자치도 제주시 한림읍 한창로 925-122,제주특별자치도 제주시 한림읍 금악리 84-1 블랙스톤CC,33.3377476,126.3124114,제주특별자치도,제주시,한림읍 금악리,84-1,84,1,5011025025,5011025025-0-00840001,,,,,,,
25,319,제주특별자치도,제주시,관광호텔,뉴맨하탄관광호텔,고용관외 1,영업중,미등급,,지상6~지하1,644.5,2483.71,56,제주시 도령로 66(연동),,제주특별자치도 제주시 도령로 66 (연동),제주특별자치도 제주시 연동 251-29 맨하탄호텔,33.489286,126.4855967,제주특별자치도,제주시,연동,251-29,251,29,5011013700,5011013700-0-02510029,New Manhattan Tourist Hotel,1,스탠다드 더블 (Standard Double),"53,493","64,192",17m²,2021-12-13
26,320,제주특별자치도,제주시,관광호텔,호텔라온제주,라온레저개발(주),영업중,3성급,2019.12.05.,지상7,746258.3,12592.93,51,제주시 한림읍 금능남로 127,,제주특별자치도 제주시 한림읍 금능남로 127,제주특별자치도 제주시 한림읍 협재리 2838 라온프라이빗타운,33.3796762,126.2396079,제주특별자치도,제주시,한림읍 협재리,2838,2838,0,5011025031,5011025031-0-28380000,,,,,,,
27,321,제주특별자치도,제주시,관광호텔,파크사이드관광호텔,㈜에이비씨디리츠,영업중,미등급,,지상8~지하2,643.7,3828.5,70,제주시 도령로 126(연동),,제주특별자치도 제주시 도령로 126 (연동),제주특별자치도 제주시 연동 270-1 파크사이드호텔,33.4924023,126.4907508,제주특별자치도,제주시,연동,270-1,270,1,5011013700,5011013700-0-02700001,,,,,,,
28,322,제주특별자치도,제주시,관광호텔,애플관광호텔(구. 하이트 관광호텔),㈜제이,영업중,미등급,,지상7~지하1,500.8,2047.6,40,제주시 동광로 45 (이도일동),,제주특별자치도 제주시 동광로 45 (이도일동),제주특별자치도 제주시 이도일동 1244-7 애플관광호텔,33.5030019,126.5335665,제주특별자치도,제주시,이도일동,1244-7,1244,7,5011010300,5011010300-0-12440007,,,,,,,
29,323,제주특별자치도,제주시,관광호텔,관광호텔 더레드,임성만,영업중,미등급,,지상8~지하1,543.2,2705.87,59,제주시 동광로6길 10 (이도이동),,제주특별자치도 제주시 동광로6길 10 (이도이동),제주특별자치도 제주시 이도이동 1176-11,33.501025,126.5318572,제주특별자치도,제주시,이도이동,1176-11,1176,11,5011010400,5011010400-0-11760011,,,,,,,
30,324,제주특별자치도,제주시,관광호텔,엠버시티호텔(구.아이비호텔),명양㈜,영업중,미등급,,지상9~지하1,343.5,2666.32,51,제주시 노연로 13(노형동),일반음식점(29.58㎡),제주특별자치도 제주시 노연로 13 (노형동),제주특별자치도 제주시 노형동 912-3 제주아이비호텔,33.4863046,126.4816483,제주특별자치도,제주시,노형동,912-3,912,3,5011012200,5011012200-0-09120003,,,,,,,
31,325,제주특별자치도,제주시,관광호텔,퓨어스테이호텔,㈜피트,영업중,1성급,2017.06.30.,지상5~지하1,860.1,1612.23,43,제주시 신대로 68(연동),휴게음식점(157.02㎡),제주특별자치도 제주시 신대로 68 (연동),제주특별자치도 제주시 연동 301-3 현대호텔,33.4913557,126.4963479,제주특별자치도,제주시,연동,301-3,301,3,5011013700,5011013700-0-03010003,,,,,,,
32,326,제주특별자치도,제주시,관광호텔,호텔루트,(주)에스에듀,영업중,미등급,,지상5~지하1,1144.4,3024.7,77,제주시 고마로15길 33(일도이동),,제주특별자치도 제주시 고마로15길 33 (일도이동),제주특별자치도 제주시 일도이동 371-3,33.5089388,126.5429808,제주특별자치도,제주시,일도이동,371-3,371,3,5011010200,5011010200-0-03710003,,,,,,,
