,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,hotel_en_nm,room_index,room_nm,room_price,room_price_weekend,room_area,standard_date
26,1429,경기도,김포시,관광호텔,아셈호텔,주식회사 아셈,영업중,3성급,2019.10.28.,지하2층~지상7층,1371.3,6114.3,73,경기도 김포시 태장로795번길 145 (장기동),"식당공간, 카페 등",경기도 김포시 태장로795번길 145 (장기동),경기도 김포시 장기동 2011-2,37.6404441,126.6843164,경기도,김포시,장기동,2011-2,2011,2,4157010400,4157010400-0-20110002,,,,,,,
27,1430,경기도,김포시,관광호텔,스타비아 관광호텔,주식회사 유림인터내셔널,영업중,평가중,-,지하1층~지상7층,1271.9,4842.46,69,경기도 김포시 태장로795번길 147 (장기동),"식당공간, 카페 등",경기도 김포시 태장로795번길 147 (장기동),경기도 김포시 장기동 2011-3,37.6402691,126.6846576,경기도,김포시,장기동,2011-3,2011,3,4157010400,4157010400-0-20110003,,,,,,,
28,1431,경기도,남양주시,관광호텔,골드관광호텔,김금옥,영업중,1성급,2017.4.14.,6층(지하1~지상6),2878,2086,33, 경기도 남양주시 별내면 청학로 92번길 133,-,경기도 남양주시 별내면 청학로 92번길 133,경기도 남양주시 별내면 청학리 494-27,37.7093857,127.1108716,경기도,남양주시,별내면 청학리,494-27,494,27,4136031021,4136031021-0-04940027,,,,,,,
29,1432,경기도,남양주시,관광호텔,호텔더메이,강순철,영업중,3성급,2018.10.16.,16층(지하3~지상16),1277,10967,126, 경기도 남양주시 별내2로 70,"휴게음식점, 일반음식점",경기도 남양주시 별내2로 70,경기도 남양주시 별내동 1008-1,37.6466717,127.1251642,경기도,남양주시,별내동,1008-1,1008,1,4136011100,4136011100-0-10080001,,,,,,,
30,1433,경기도,남양주시,관광호텔,제이디관광호텔,"구제원,구정두",영업중,2성급,2017.8.18.,8층(지하3~지상8),724,5591,71,경기도 남양주시 진접읍 해밀예당1로 50-44,"일반음식점, 휴게실",경기도 남양주시 진접읍 해밀예당1로 50-44,경기도 남양주시 진접읍 금곡리 1082-5,37.712,127.1875807,경기도,남양주시,진접읍 금곡리,1082-5,1082,5,4136025328,4136025328-0-10820005,,,,,,,
31,1434,경기도,남양주시,관광호텔,CH관광호텔,이승연,영업중,등급보류,-,4층(지하2~지상4),1548,4992,55,경기도 남양주시 별내면 청학로 77,"연회장, 휴게음식점",경기도 남양주시 별내면 청학로 77,경기도 남양주시 별내면 청학리 438,37.7073117,127.11846,경기도,남양주시,별내면 청학리,438,438,0,4136031021,4136031021-0-04380000,,,,,,,
32,1435,경기도,동두천시,관광호텔,뉴프리첼관광호텔,주식회사 제일상호저축은행,휴업중,등급없음,-,지하2~지상7층,5721,4723,39,경기도 동두천시 삼육사로 1093 (생연동),"나이트클럽, 한,양식당, 예식장, 미용실, 노래방 1개소",경기도 동두천시 삼육사로 1093 (생연동),경기도 동두천시 생연동 53 프리첼관광호텔,37.8972332,127.0708203,경기도,동두천시,생연동,53,53,0,4125010300,4125010300-0-00530000,,,,,,,
33,1436,경기도,부천시,관광호텔,파비아 관광호텔,김광준,영업중,1성급,2019.8.21.,지하2층~지상5층,1577.1,3762.34,50,"경기도 부천시 부일로 510 (심곡동, 파비아관광호텔)","유흥주점, 커피숍, 일반음식점","경기도 부천시 부일로 510 (심곡동, 파비아관광호텔)",경기도 부천시 심곡동 139-4,37.48504,126.7866945,경기도,부천시,심곡동,139-4,139,4,4119010200,4119010200-0-01390004,,,,,,,
34,1437,경기도,부천시,관광호텔,테마파크관광호텔,최임묵,영업중,1성급,2018.8.22.,지하1층~지상12층,1419.1,7004.35,100,"경기도 부천시 길주로 69 (상동, 테마파크관광호텔)","비즈니스룸, 일반음식점, 회의실, 일반음식점, 유흥주점","경기도 부천시 길주로 69 (상동, 테마파크관광호텔)",경기도 부천시 상동 531-6 테마파크관광호텔,37.5064238,126.7500537,경기도,부천시,상동,531-6,531,6,4119010900,4119010900-0-05310006,,,,,,,
35,1438,경기도,부천시,관광호텔,제니스관광호텔,이병희,영업중,1성급,2018.3.23.,지하2층~지상8층,821.6,4759.75,59,경기도 부천시 길주로77번길 19-22 (상동),"비지니스룸, 유흥주점",경기도 부천시 길주로77번길 19-22 (상동),경기도 부천시 상동 532-19,37.5069444,126.7503399,경기도,부천시,상동,532-19,532,19,4119010900,4119010900-0-05320019,,,,,,,
36,1439,경기도,부천시,관광호텔,부천호텔,유한회사 버자,영업중,2성급,2018.5.3.,지하3층~지상12층,1298.6,10222.18,98,경기도 부천시 길주로 131 (상동),"일반음식점, 비즈니스센터, 유흥주점",경기도 부천시 길주로 131 (상동),경기도 부천시 상동 538-5 B-STAY 부천호텔,37.5060781,126.7572073,경기도,부천시,상동,538-5,538,5,4119010900,4119010900-0-05380005,,,,,,,
37,1440,경기도,부천시,관광호텔,폴라리스관광호텔,(주)폴라리스관광호텔,영업중,기간만료,-,지하3층~지상11층,971.6,8531.13,96,"경기도 부천시 소향로13번길 27 (상동, (주)폴라리스관광호텔)","1층 : 일반음식점 (밸뷔레스토랑), 비지니스룸","경기도 부천시 소향로13번길 27 (상동, (주)폴라리스관광호텔)",경기도 부천시 상동 548-3 폴라리스 관광호텔,37.5051109,126.7490357,경기도,부천시,상동,548-3,548,3,4119010900,4119010900-0-05480003,,,,,,,
38,1441,경기도,부천시,관광호텔,유한회사 고려,유한회사 고려,영업중,기간만료,-,지하3층~지상15층,1238.1,12695.09,127,경기도 부천시 길주로 66 (상동),"커피숍, 비즈니스룸, 일반음식접, 유흥주점, 연희장 ",경기도 부천시 길주로 66 (상동),경기도 부천시 상동 548-5 고려호텔,37.5054268,126.7495393,경기도,부천시,상동,548-5,548,5,4119010900,4119010900-0-05480005,,,,,,,
39,1442,경기도,부천시,관광호텔,에스호텔,"김경민, 조재경",영업중,2성급,2019.12.26.,지하1층~지상6층,794,2731.77,55,경기도 원미로17번길 28(심곡동),"일반음식점, 비즈니스센터, 유흥주점",경기도 부천시 원미로17번길 28 (심곡동),경기도 부천시 심곡동 139-7 첼로모텔,37.4847401,126.7873905,경기도,부천시,심곡동,139-7,139,7,4119010200,4119010200-0-01390007,,,,,,,
40,1443,경기도,성남시,관광호텔,리젠시호텔,㈜솜코리아,영업중,1성급,2017.12.12.,지하1/지상8,532,2483,56,경기도 성남시 분당구 황새울로 352 (서현동),일반음식점,경기도 성남시 분당구 황새울로 352 (서현동),경기도 성남시 분당구 서현동 249-5 호텔리젠시,37.3867354,127.1241678,경기도,성남시 분당구,서현동,249-5,249,5,4113510500,4113510500-0-02490005,,,,,,,
41,1444,경기도,성남시,관광호텔,호텔갤러리,임선희,영업중,3성급,2018.11.7.,지하3/지상8,1105,8133,111,경기도 성남시 분당구 황새울로 321 (서현동),"와인샵, 와인바, 레스토랑",경기도 성남시 분당구 황새울로 321 (서현동),경기도 성남시 분당구 서현동 272-2 비지니스호텔갤러리,37.385329,127.121089,경기도,성남시 분당구,서현동,272-2,272,2,4113510500,4113510500-0-02720002,,,,,,,
42,1445,경기도,성남시,관광호텔,호텔에스알,권준상 외2,영업중,2성급,2017.12.26.,지하2/지상8,766,4982,66,경기도 성남시 분당구 황새울로319번길 9 (서현동),"레스토랑, 일반음식점",경기도 성남시 분당구 황새울로319번길 9 (서현동),경기도 성남시 분당구 서현동 274-1,37.385548,127.1201835,경기도,성남시 분당구,서현동,274-1,274,1,4113510500,4113510500-0-02740001,,,,,,,
