,idx,addr1,addr2,type,name,biz_name,status,rate,rate_date,floor,area1,area2,rooms,address,amenities,doro,gibun,latitude,longitude,sido,sigungu,bjdong,beonji,beon,ji,bjdong_code,PNU,hotel_en_nm,room_nm,room_price,room_area,standard_date
547,548,부산광역시,수영구,관광호텔,하운드호텔,(주)메이호텔,영업중,2성,2017-07-19 0:00,지하2~지상8층,664.2,3655.72,49,부산광역시 수영구 남천바다로33번길 12 (광안동),"로비라운지, 전망대",부산광역시 수영구 남천바다로33번길 12 (광안동),부산광역시 수영구 광안동 204-5,35.1488877,129.1145383,부산광역시,수영구,광안동,204-5,204,5,2650010400,2650010400-0-02040005,,,,,
548,549,부산광역시,수영구,관광호텔,스타호텔,곽동희,영업중,1성,2018-03-08 0:00,지하1~지상8층,795,1496.07,34,부산광역시 수영구 광안해변로284번길 3 (민락동),"로비라운지, 일반음식점",부산광역시 수영구 광안해변로284번길 3 (민락동),부산광역시 수영구 민락동 181-90,35.1557824,129.125063,부산광역시,수영구,민락동,181-90,181,90,2650010300,2650010300-0-01810090,,,,,
549,550,부산광역시,수영구,관광호텔,H-AVENUE 광안리점,㈜엘제이에스,영업중,1성,2018-03-08 0:00,지상11~지상12층,1967,11962.8,30,"부산광역시 수영구 민락수변로 29 (민락동, 민락동 바다마루)","로비라운지, 일반음식점","부산광역시 수영구 민락수변로 29 (민락동, 민락동 바다마루)",부산광역시 수영구 민락동 181-223 민락동 바다마루,35.1533383,129.1246407,부산광역시,수영구,민락동,181-223,181,223,2650010300,2650010300-0-01810223,,,,,
550,551,부산광역시,수영구,관광호텔,호텔런더너,조영호 외 1명,영업중,2성,2018-04-24 0:00,지하1~지상9층,536,1263.74,45,부산광역시 수영구 민락본동로 12-4 (민락동),"로비라운지, 일반음식점",부산광역시 수영구 민락본동로 12-4 (민락동),부산광역시 수영구 민락동 121-8,35.1576484,129.1287003,부산광역시,수영구,민락동,121-8,121,8,2650010300,2650010300-0-01210008,,,,,
551,552,부산광역시,수영구,관광호텔,호텔1,(주)우리모두브라보,영업중,2성,2018-12-28 0:00,지하2~지상10층,403.6,3419.18,52,"부산광역시 수영구 광안해변로 203 (광안동, 마리나)","로비라운지, 일반음식점, 휴게음식점","부산광역시 수영구 광안해변로 203 (광안동, 마리나)",부산광역시 수영구 광안동 196-3,35.1524994,129.1173754,부산광역시,수영구,광안동,196-3,196,3,2650010400,2650010400-0-01960003,,,,,
552,553,부산광역시,수영구,관광호텔,베스트 루이스 해밀턴 호텔 광안점,박찬용 외 1명,영업중,2성,2019-06-10 0:00,지하1~지상15층,422.16,2037.96,50,부산광역시 수영구 광안해변로 276 (민락동),"로비라운지, 일반음식점",부산광역시 수영구 광안해변로 276 (민락동),부산광역시 수영구 민락동 181-205,35.1556222,129.1239915,부산광역시,수영구,민락동,181-205,181,205,2650010300,2650010300-0-01810205,,,,,
553,554,부산광역시,수영구,관광호텔,H-AVENUE 광안리해변점,이윤우 외 1명,영업중,2성,2019-12-20 0:00,지상8~지상10층,3558,1497.35,34,부산광역시 수영구 광안해변로278번길 42(민락동),"로비라운지, 일반음식점",부산광역시 수영구 광안해변로278번길 42 (민락동),부산광역시 수영구 민락동 181-154 오션브릿지,35.1539705,129.1245151,부산광역시,수영구,민락동,181-154,181,154,2650010300,2650010300-0-01810154,,,,,
554,555,부산광역시,수영구,관광호텔,더포인트호텔 광안리점,㈜골든,영업중,2성,2019-10-11 0:00,지상7~지상10층,3558,2706.44,45,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 A동 7~10층 (민락동)","로비라운지, 일반음식점","부산광역시 수영구 광안해변로278번길 42, 오션브릿지 A동 7~10층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,35.1539705,129.1245151,부산광역시,수영구,민락동,181-154,181,154,2650010300,2650010300-0-01810154,,,,,
555,556,부산광역시,수영구,관광호텔,호텔 센트럴베이,㈜센트럴베이,영업중,평가중,,지하1~지상17층,696.31,9656.46,134,부산광역시 수영구 광안해변로 189 (광안동),"로비라운지, 일반음식점",부산광역시 수영구 광안해변로 189 (광안동),부산광역시 수영구 광안동 197-2 HOTEL CENTRALBAY,35.1514799,129.1164362,부산광역시,수영구,광안동,197-2,197,2,2650010400,2650010400-0-01970002,Hotel Central Bay Gwangalli,수페리어 더블룸 - 도시 전망,"81,818",,2021-12-13
556,557,부산광역시,수영구,소형호텔,브라운도트호텔,정지영,영업중,1성,2017-10-26 0:00,지하1~지상6층,339.9,1382.35,29,부산광역시 수영구 남천바다로33번길 31 (광안동),"로비라운지, 일반음식점",부산광역시 수영구 남천바다로33번길 31 (광안동),부산광역시 수영구 광안동 202-4,35.1498256,129.1147672,부산광역시,수영구,광안동,202-4,202,4,2650010400,2650010400-0-02020004,,,,,
